group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 03 load input,,,,,1202500.0,ns,8
day 03 load input,,,,,2230000.0,ns,16
day 03 load input,,,,,3494800.0,ns,24
day 03 load input,,,,,4519700.0,ns,32
day 03 load input,,,,,5594900.0,ns,40
day 03 load input,,,,,6964700.0,ns,48
day 03 load input,,,,,7897800.0,ns,56
day 03 load input,,,,,9278600.0,ns,64
day 03 load input,,,,,9993400.0,ns,72
day 03 load input,,,,,11084400.0,ns,80
day 03 load input,,,,,12539100.0,ns,88
day 03 load input,,,,,13366100.0,ns,96
day 03 load input,,,,,14610200.0,ns,104
day 03 load input,,,,,15578300.0,ns,112
day 03 load input,,,,,16885900.0,ns,120
day 03 load input,,,,,17815500.0,ns,128
day 03 load input,,,,,19066300.0,ns,136
day 03 load input,,,,,19880900.0,ns,144
day 03 load input,,,,,21540200.0,ns,152
day 03 load input,,,,,22501200.0,ns,160
day 03 load input,,,,,23224400.0,ns,168
day 03 load input,,,,,25449200.0,ns,176
day 03 load input,,,,,25851100.0,ns,184
day 03 load input,,,,,27097300.0,ns,192
day 03 load input,,,,,27861400.0,ns,200
day 03 load input,,,,,28970000.0,ns,208
day 03 load input,,,,,30108100.0,ns,216
day 03 load input,,,,,31591300.0,ns,224
day 03 load input,,,,,32393800.0,ns,232
day 03 load input,,,,,33601100.0,ns,240
day 03 load input,,,,,35944000.0,ns,248
day 03 load input,,,,,35658500.0,ns,256
day 03 load input,,,,,36965800.0,ns,264
day 03 load input,,,,,38280600.0,ns,272
day 03 load input,,,,,39183800.0,ns,280
day 03 load input,,,,,40362400.0,ns,288
day 03 load input,,,,,41758600.0,ns,296
day 03 load input,,,,,42187500.0,ns,304
day 03 load input,,,,,43729400.0,ns,312
day 03 load input,,,,,44645100.0,ns,320
day 03 load input,,,,,46589000.0,ns,328
day 03 load input,,,,,47448900.0,ns,336
day 03 load input,,,,,49354300.0,ns,344
day 03 load input,,,,,49432300.0,ns,352
day 03 load input,,,,,49919300.0,ns,360
day 03 load input,,,,,51799900.0,ns,368
day 03 load input,,,,,52957000.0,ns,376
day 03 load input,,,,,54486400.0,ns,384
day 03 load input,,,,,55467600.0,ns,392
day 03 load input,,,,,56341100.0,ns,400
day 03 load input,,,,,57012100.0,ns,408
day 03 load input,,,,,59254100.0,ns,416
day 03 load input,,,,,59157300.0,ns,424
day 03 load input,,,,,60829400.0,ns,432
day 03 load input,,,,,61128300.0,ns,440
day 03 load input,,,,,62651200.0,ns,448
day 03 load input,,,,,64778000.0,ns,456
day 03 load input,,,,,64904500.0,ns,464
day 03 load input,,,,,65615300.0,ns,472
day 03 load input,,,,,67022300.0,ns,480
day 03 load input,,,,,68912400.0,ns,488
day 03 load input,,,,,69970300.0,ns,496
day 03 load input,,,,,71711200.0,ns,504
day 03 load input,,,,,72111700.0,ns,512
day 03 load input,,,,,72867000.0,ns,520
day 03 load input,,,,,73796100.0,ns,528
day 03 load input,,,,,75385400.0,ns,536
day 03 load input,,,,,76850800.0,ns,544
day 03 load input,,,,,77622400.0,ns,552
day 03 load input,,,,,78922300.0,ns,560
day 03 load input,,,,,79175500.0,ns,568
day 03 load input,,,,,81446400.0,ns,576
day 03 load input,,,,,81392500.0,ns,584
day 03 load input,,,,,83168200.0,ns,592
day 03 load input,,,,,83381800.0,ns,600
day 03 load input,,,,,85869400.0,ns,608
day 03 load input,,,,,87484400.0,ns,616
day 03 load input,,,,,87912400.0,ns,624
day 03 load input,,,,,88954200.0,ns,632
day 03 load input,,,,,89358400.0,ns,640
day 03 load input,,,,,89947500.0,ns,648
day 03 load input,,,,,91741800.0,ns,656
day 03 load input,,,,,92557600.0,ns,664
day 03 load input,,,,,93398100.0,ns,672
day 03 load input,,,,,94716100.0,ns,680
day 03 load input,,,,,96147600.0,ns,688
day 03 load input,,,,,97966800.0,ns,696
day 03 load input,,,,,99406600.0,ns,704
day 03 load input,,,,,100823700.0,ns,712
day 03 load input,,,,,102897600.0,ns,720
day 03 load input,,,,,102644100.0,ns,728
day 03 load input,,,,,102936800.0,ns,736
day 03 load input,,,,,104554000.0,ns,744
day 03 load input,,,,,104323800.0,ns,752
day 03 load input,,,,,106207500.0,ns,760
day 03 load input,,,,,107749200.0,ns,768
day 03 load input,,,,,110892800.0,ns,776
day 03 load input,,,,,110436100.0,ns,784
day 03 load input,,,,,111246700.0,ns,792
day 03 load input,,,,,110733100.0,ns,800
