group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 11 part one,,,,,624549200.0,ns,1
day 11 part one,,,,,615606300.0,ns,1
day 11 part one,,,,,615295200.0,ns,1
day 11 part one,,,,,615092900.0,ns,1
day 11 part one,,,,,615152700.0,ns,1
day 11 part one,,,,,617361500.0,ns,1
day 11 part one,,,,,612164600.0,ns,1
day 11 part one,,,,,615526400.0,ns,1
day 11 part one,,,,,614557200.0,ns,1
day 11 part one,,,,,615852300.0,ns,1
day 11 part one,,,,,617279700.0,ns,1
day 11 part one,,,,,614076500.0,ns,1
day 11 part one,,,,,617125100.0,ns,1
day 11 part one,,,,,615967900.0,ns,1
day 11 part one,,,,,613000300.0,ns,1
day 11 part one,,,,,624496200.0,ns,1
day 11 part one,,,,,617957300.0,ns,1
day 11 part one,,,,,619136700.0,ns,1
day 11 part one,,,,,615259200.0,ns,1
day 11 part one,,,,,616558400.0,ns,1
day 11 part one,,,,,616310700.0,ns,1
day 11 part one,,,,,620935500.0,ns,1
day 11 part one,,,,,613751600.0,ns,1
day 11 part one,,,,,616886700.0,ns,1
day 11 part one,,,,,610346500.0,ns,1
day 11 part one,,,,,616496400.0,ns,1
day 11 part one,,,,,618604900.0,ns,1
day 11 part one,,,,,613481400.0,ns,1
day 11 part one,,,,,616511700.0,ns,1
day 11 part one,,,,,612460900.0,ns,1
day 11 part one,,,,,617485100.0,ns,1
day 11 part one,,,,,615314300.0,ns,1
day 11 part one,,,,,612795500.0,ns,1
day 11 part one,,,,,627792000.0,ns,1
day 11 part one,,,,,615044000.0,ns,1
day 11 part one,,,,,614834300.0,ns,1
day 11 part one,,,,,617962900.0,ns,1
day 11 part one,,,,,613443900.0,ns,1
day 11 part one,,,,,617972500.0,ns,1
day 11 part one,,,,,615094200.0,ns,1
day 11 part one,,,,,614169100.0,ns,1
day 11 part one,,,,,615970600.0,ns,1
day 11 part one,,,,,613589900.0,ns,1
day 11 part one,,,,,615106700.0,ns,1
day 11 part one,,,,,615248700.0,ns,1
day 11 part one,,,,,612470600.0,ns,1
day 11 part one,,,,,616772000.0,ns,1
day 11 part one,,,,,614507700.0,ns,1
day 11 part one,,,,,614855200.0,ns,1
day 11 part one,,,,,618978800.0,ns,1
day 11 part one,,,,,615330800.0,ns,1
day 11 part one,,,,,616856200.0,ns,1
day 11 part one,,,,,615723600.0,ns,1
day 11 part one,,,,,613242300.0,ns,1
day 11 part one,,,,,617537000.0,ns,1
day 11 part one,,,,,613351700.0,ns,1
day 11 part one,,,,,616421000.0,ns,1
day 11 part one,,,,,616666100.0,ns,1
day 11 part one,,,,,614789300.0,ns,1
day 11 part one,,,,,615783700.0,ns,1
day 11 part one,,,,,620475400.0,ns,1
day 11 part one,,,,,612139800.0,ns,1
day 11 part one,,,,,617759400.0,ns,1
day 11 part one,,,,,613613600.0,ns,1
day 11 part one,,,,,624555900.0,ns,1
day 11 part one,,,,,626766900.0,ns,1
day 11 part one,,,,,617215600.0,ns,1
day 11 part one,,,,,622039500.0,ns,1
day 11 part one,,,,,618509900.0,ns,1
day 11 part one,,,,,620205300.0,ns,1
day 11 part one,,,,,618800600.0,ns,1
day 11 part one,,,,,612299000.0,ns,1
day 11 part one,,,,,616851900.0,ns,1
day 11 part one,,,,,615804300.0,ns,1
day 11 part one,,,,,613827600.0,ns,1
day 11 part one,,,,,616754200.0,ns,1
day 11 part one,,,,,617455900.0,ns,1
day 11 part one,,,,,618344100.0,ns,1
day 11 part one,,,,,616157900.0,ns,1
day 11 part one,,,,,613405800.0,ns,1
day 11 part one,,,,,617084100.0,ns,1
day 11 part one,,,,,614014400.0,ns,1
day 11 part one,,,,,627132700.0,ns,1
day 11 part one,,,,,616456300.0,ns,1
day 11 part one,,,,,615259000.0,ns,1
day 11 part one,,,,,623079600.0,ns,1
day 11 part one,,,,,615285000.0,ns,1
day 11 part one,,,,,614213800.0,ns,1
day 11 part one,,,,,616484100.0,ns,1
day 11 part one,,,,,612062400.0,ns,1
day 11 part one,,,,,615043200.0,ns,1
day 11 part one,,,,,614201400.0,ns,1
day 11 part one,,,,,615143900.0,ns,1
day 11 part one,,,,,617793500.0,ns,1
day 11 part one,,,,,615129800.0,ns,1
day 11 part one,,,,,615782400.0,ns,1
day 11 part one,,,,,615675700.0,ns,1
day 11 part one,,,,,611119300.0,ns,1
day 11 part one,,,,,619972200.0,ns,1
day 11 part one,,,,,617563700.0,ns,1
