group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 18 load input,,,,,1200260.0,ns,105
day 18 load input,,,,,1932568.0,ns,210
day 18 load input,,,,,2923369.0,ns,315
day 18 load input,,,,,4056921.0,ns,420
day 18 load input,,,,,5182475.0,ns,525
day 18 load input,,,,,6070298.0,ns,630
day 18 load input,,,,,7761542.0,ns,735
day 18 load input,,,,,8163703.0,ns,840
day 18 load input,,,,,9142029.0,ns,945
day 18 load input,,,,,10088885.0,ns,1050
day 18 load input,,,,,10620523.0,ns,1155
day 18 load input,,,,,12018683.0,ns,1260
day 18 load input,,,,,13044604.0,ns,1365
day 18 load input,,,,,13951297.0,ns,1470
day 18 load input,,,,,14815046.0,ns,1575
day 18 load input,,,,,15882318.0,ns,1680
day 18 load input,,,,,16702657.0,ns,1785
day 18 load input,,,,,23231059.0,ns,1890
day 18 load input,,,,,18785175.0,ns,1995
day 18 load input,,,,,20189861.0,ns,2100
day 18 load input,,,,,20992817.0,ns,2205
day 18 load input,,,,,21755360.0,ns,2310
day 18 load input,,,,,22812919.0,ns,2415
day 18 load input,,,,,24191136.0,ns,2520
day 18 load input,,,,,24784765.0,ns,2625
day 18 load input,,,,,25799306.0,ns,2730
day 18 load input,,,,,26844028.0,ns,2835
day 18 load input,,,,,27943623.0,ns,2940
day 18 load input,,,,,28632036.0,ns,3045
day 18 load input,,,,,29902289.0,ns,3150
day 18 load input,,,,,30607035.0,ns,3255
day 18 load input,,,,,31733240.0,ns,3360
day 18 load input,,,,,32604667.0,ns,3465
day 18 load input,,,,,33885580.0,ns,3570
day 18 load input,,,,,34582995.0,ns,3675
day 18 load input,,,,,35497842.0,ns,3780
day 18 load input,,,,,36560449.0,ns,3885
day 18 load input,,,,,37932369.0,ns,3990
day 18 load input,,,,,38522174.0,ns,4095
day 18 load input,,,,,39609031.0,ns,4200
day 18 load input,,,,,40403622.0,ns,4305
day 18 load input,,,,,41996421.0,ns,4410
day 18 load input,,,,,43122655.0,ns,4515
day 18 load input,,,,,43880204.0,ns,4620
day 18 load input,,,,,44847028.0,ns,4725
day 18 load input,,,,,45888400.0,ns,4830
day 18 load input,,,,,46532782.0,ns,4935
day 18 load input,,,,,47562438.0,ns,5040
day 18 load input,,,,,48636793.0,ns,5145
day 18 load input,,,,,49974342.0,ns,5250
day 18 load input,,,,,51038428.0,ns,5355
day 18 load input,,,,,51730715.0,ns,5460
day 18 load input,,,,,52830953.0,ns,5565
day 18 load input,,,,,53339789.0,ns,5670
day 18 load input,,,,,54675060.0,ns,5775
day 18 load input,,,,,55523379.0,ns,5880
day 18 load input,,,,,56451111.0,ns,5985
day 18 load input,,,,,57360959.0,ns,6090
day 18 load input,,,,,59957027.0,ns,6195
day 18 load input,,,,,59385316.0,ns,6300
day 18 load input,,,,,60969355.0,ns,6405
day 18 load input,,,,,61198907.0,ns,6510
day 18 load input,,,,,62394741.0,ns,6615
day 18 load input,,,,,63301520.0,ns,6720
day 18 load input,,,,,64363872.0,ns,6825
day 18 load input,,,,,65086884.0,ns,6930
day 18 load input,,,,,66275167.0,ns,7035
day 18 load input,,,,,67298889.0,ns,7140
day 18 load input,,,,,68416144.0,ns,7245
day 18 load input,,,,,69183007.0,ns,7350
day 18 load input,,,,,70477790.0,ns,7455
day 18 load input,,,,,71542676.0,ns,7560
day 18 load input,,,,,72206720.0,ns,7665
day 18 load input,,,,,73949758.0,ns,7770
day 18 load input,,,,,74546222.0,ns,7875
day 18 load input,,,,,75428437.0,ns,7980
day 18 load input,,,,,76319852.0,ns,8085
day 18 load input,,,,,77385605.0,ns,8190
day 18 load input,,,,,78574749.0,ns,8295
day 18 load input,,,,,79198467.0,ns,8400
day 18 load input,,,,,80298039.0,ns,8505
day 18 load input,,,,,81193573.0,ns,8610
day 18 load input,,,,,81990134.0,ns,8715
day 18 load input,,,,,83444534.0,ns,8820
day 18 load input,,,,,84242084.0,ns,8925
day 18 load input,,,,,85279648.0,ns,9030
day 18 load input,,,,,86659753.0,ns,9135
day 18 load input,,,,,87424117.0,ns,9240
day 18 load input,,,,,88189196.0,ns,9345
day 18 load input,,,,,89325396.0,ns,9450
day 18 load input,,,,,90488715.0,ns,9555
day 18 load input,,,,,91127833.0,ns,9660
day 18 load input,,,,,92141259.0,ns,9765
day 18 load input,,,,,93064489.0,ns,9870
day 18 load input,,,,,94112615.0,ns,9975
day 18 load input,,,,,95067799.0,ns,10080
day 18 load input,,,,,96028096.0,ns,10185
day 18 load input,,,,,97158346.0,ns,10290
day 18 load input,,,,,99332212.0,ns,10395
day 18 load input,,,,,99350034.0,ns,10500
