group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 13 load input,,,,,1281800.0,ns,8
day 13 load input,,,,,2312400.0,ns,16
day 13 load input,,,,,3296400.0,ns,24
day 13 load input,,,,,4438000.0,ns,32
day 13 load input,,,,,5479700.0,ns,40
day 13 load input,,,,,6691500.0,ns,48
day 13 load input,,,,,7659600.0,ns,56
day 13 load input,,,,,8910100.0,ns,64
day 13 load input,,,,,10122100.0,ns,72
day 13 load input,,,,,11329900.0,ns,80
day 13 load input,,,,,12648400.0,ns,88
day 13 load input,,,,,13374100.0,ns,96
day 13 load input,,,,,14551300.0,ns,104
day 13 load input,,,,,15622000.0,ns,112
day 13 load input,,,,,16447900.0,ns,120
day 13 load input,,,,,18256600.0,ns,128
day 13 load input,,,,,19926200.0,ns,136
day 13 load input,,,,,20241800.0,ns,144
day 13 load input,,,,,20966700.0,ns,152
day 13 load input,,,,,22454700.0,ns,160
day 13 load input,,,,,23630200.0,ns,168
day 13 load input,,,,,24779400.0,ns,176
day 13 load input,,,,,25547800.0,ns,184
day 13 load input,,,,,27093600.0,ns,192
day 13 load input,,,,,28967400.0,ns,200
day 13 load input,,,,,32659000.0,ns,208
day 13 load input,,,,,30913900.0,ns,216
day 13 load input,,,,,32580500.0,ns,224
day 13 load input,,,,,33424100.0,ns,232
day 13 load input,,,,,33230100.0,ns,240
day 13 load input,,,,,35001800.0,ns,248
day 13 load input,,,,,36064200.0,ns,256
day 13 load input,,,,,37049700.0,ns,264
day 13 load input,,,,,37996000.0,ns,272
day 13 load input,,,,,39819500.0,ns,280
day 13 load input,,,,,40721800.0,ns,288
day 13 load input,,,,,41143600.0,ns,296
day 13 load input,,,,,42805000.0,ns,304
day 13 load input,,,,,43376000.0,ns,312
day 13 load input,,,,,44176800.0,ns,320
day 13 load input,,,,,45601500.0,ns,328
day 13 load input,,,,,46416800.0,ns,336
day 13 load input,,,,,48244000.0,ns,344
day 13 load input,,,,,48742600.0,ns,352
day 13 load input,,,,,50489300.0,ns,360
day 13 load input,,,,,52405400.0,ns,368
day 13 load input,,,,,52721400.0,ns,376
day 13 load input,,,,,53172900.0,ns,384
day 13 load input,,,,,56941200.0,ns,392
day 13 load input,,,,,56423000.0,ns,400
day 13 load input,,,,,57239700.0,ns,408
day 13 load input,,,,,57267600.0,ns,416
day 13 load input,,,,,58612700.0,ns,424
day 13 load input,,,,,60887300.0,ns,432
day 13 load input,,,,,61841200.0,ns,440
day 13 load input,,,,,63327500.0,ns,448
day 13 load input,,,,,63286700.0,ns,456
day 13 load input,,,,,64216800.0,ns,464
day 13 load input,,,,,65203700.0,ns,472
day 13 load input,,,,,66227700.0,ns,480
day 13 load input,,,,,67932400.0,ns,488
day 13 load input,,,,,70064200.0,ns,496
day 13 load input,,,,,69720600.0,ns,504
day 13 load input,,,,,71198900.0,ns,512
day 13 load input,,,,,73791600.0,ns,520
day 13 load input,,,,,74379000.0,ns,528
day 13 load input,,,,,75105900.0,ns,536
day 13 load input,,,,,76163600.0,ns,544
day 13 load input,,,,,78907100.0,ns,552
day 13 load input,,,,,77910400.0,ns,560
day 13 load input,,,,,78682800.0,ns,568
day 13 load input,,,,,79414800.0,ns,576
day 13 load input,,,,,81883000.0,ns,584
day 13 load input,,,,,82661200.0,ns,592
day 13 load input,,,,,83077700.0,ns,600
day 13 load input,,,,,84864600.0,ns,608
day 13 load input,,,,,84864100.0,ns,616
day 13 load input,,,,,88321800.0,ns,624
day 13 load input,,,,,87467900.0,ns,632
day 13 load input,,,,,88225000.0,ns,640
day 13 load input,,,,,92916200.0,ns,648
day 13 load input,,,,,91173100.0,ns,656
day 13 load input,,,,,93132700.0,ns,664
day 13 load input,,,,,92966200.0,ns,672
day 13 load input,,,,,94569100.0,ns,680
day 13 load input,,,,,95518300.0,ns,688
day 13 load input,,,,,97125800.0,ns,696
day 13 load input,,,,,100286300.0,ns,704
day 13 load input,,,,,101057400.0,ns,712
day 13 load input,,,,,102792400.0,ns,720
day 13 load input,,,,,102173900.0,ns,728
day 13 load input,,,,,103719700.0,ns,736
day 13 load input,,,,,103632400.0,ns,744
day 13 load input,,,,,105429500.0,ns,752
day 13 load input,,,,,106764900.0,ns,760
day 13 load input,,,,,106704100.0,ns,768
day 13 load input,,,,,108297500.0,ns,776
day 13 load input,,,,,112670000.0,ns,784
day 13 load input,,,,,109569900.0,ns,792
day 13 load input,,,,,110407200.0,ns,800
