group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 18 part two ,,,,,1179362.0,ns,2
day 18 part two ,,,,,2261029.0,ns,4
day 18 part two ,,,,,3392854.0,ns,6
day 18 part two ,,,,,4886118.0,ns,8
day 18 part two ,,,,,5767932.0,ns,10
day 18 part two ,,,,,6935404.0,ns,12
day 18 part two ,,,,,8594697.0,ns,14
day 18 part two ,,,,,9170582.0,ns,16
day 18 part two ,,,,,10230892.0,ns,18
day 18 part two ,,,,,11363310.0,ns,20
day 18 part two ,,,,,12429413.0,ns,22
day 18 part two ,,,,,13627169.0,ns,24
day 18 part two ,,,,,14692354.0,ns,26
day 18 part two ,,,,,15846044.0,ns,28
day 18 part two ,,,,,17098275.0,ns,30
day 18 part two ,,,,,18252205.0,ns,32
day 18 part two ,,,,,19218587.0,ns,34
day 18 part two ,,,,,20371094.0,ns,36
day 18 part two ,,,,,21502109.0,ns,38
day 18 part two ,,,,,22662416.0,ns,40
day 18 part two ,,,,,23800480.0,ns,42
day 18 part two ,,,,,24919874.0,ns,44
day 18 part two ,,,,,26027929.0,ns,46
day 18 part two ,,,,,27224727.0,ns,48
day 18 part two ,,,,,28253972.0,ns,50
day 18 part two ,,,,,29433827.0,ns,52
day 18 part two ,,,,,30533196.0,ns,54
day 18 part two ,,,,,31731486.0,ns,56
day 18 part two ,,,,,32808134.0,ns,58
day 18 part two ,,,,,33927667.0,ns,60
day 18 part two ,,,,,35166021.0,ns,62
day 18 part two ,,,,,36239920.0,ns,64
day 18 part two ,,,,,37323550.0,ns,66
day 18 part two ,,,,,38563889.0,ns,68
day 18 part two ,,,,,40227647.0,ns,70
day 18 part two ,,,,,41721165.0,ns,72
day 18 part two ,,,,,41947277.0,ns,74
day 18 part two ,,,,,43082697.0,ns,76
day 18 part two ,,,,,44092924.0,ns,78
day 18 part two ,,,,,45326171.0,ns,80
day 18 part two ,,,,,46631567.0,ns,82
day 18 part two ,,,,,47513699.0,ns,84
day 18 part two ,,,,,48656359.0,ns,86
day 18 part two ,,,,,49748632.0,ns,88
day 18 part two ,,,,,50905946.0,ns,90
day 18 part two ,,,,,52048199.0,ns,92
day 18 part two ,,,,,53175685.0,ns,94
day 18 part two ,,,,,54297048.0,ns,96
day 18 part two ,,,,,55637235.0,ns,98
day 18 part two ,,,,,56596353.0,ns,100
day 18 part two ,,,,,58540487.0,ns,102
day 18 part two ,,,,,58949825.0,ns,104
day 18 part two ,,,,,60155844.0,ns,106
day 18 part two ,,,,,61170342.0,ns,108
day 18 part two ,,,,,62286249.0,ns,110
day 18 part two ,,,,,63394836.0,ns,112
day 18 part two ,,,,,64533495.0,ns,114
day 18 part two ,,,,,65698826.0,ns,116
day 18 part two ,,,,,66887355.0,ns,118
day 18 part two ,,,,,67897880.0,ns,120
day 18 part two ,,,,,69036569.0,ns,122
day 18 part two ,,,,,70117208.0,ns,124
day 18 part two ,,,,,71259954.0,ns,126
day 18 part two ,,,,,72382903.0,ns,128
day 18 part two ,,,,,73512214.0,ns,130
day 18 part two ,,,,,74722445.0,ns,132
day 18 part two ,,,,,75860660.0,ns,134
day 18 part two ,,,,,77057353.0,ns,136
day 18 part two ,,,,,78124108.0,ns,138
day 18 part two ,,,,,79286246.0,ns,140
day 18 part two ,,,,,80442579.0,ns,142
day 18 part two ,,,,,81659509.0,ns,144
day 18 part two ,,,,,82571713.0,ns,146
day 18 part two ,,,,,83711948.0,ns,148
day 18 part two ,,,,,84834153.0,ns,150
day 18 part two ,,,,,85960254.0,ns,152
day 18 part two ,,,,,87081920.0,ns,154
day 18 part two ,,,,,88254982.0,ns,156
day 18 part two ,,,,,89402510.0,ns,158
day 18 part two ,,,,,90530802.0,ns,160
day 18 part two ,,,,,91661062.0,ns,162
day 18 part two ,,,,,92826994.0,ns,164
day 18 part two ,,,,,94078143.0,ns,166
day 18 part two ,,,,,95090283.0,ns,168
day 18 part two ,,,,,96121534.0,ns,170
day 18 part two ,,,,,97242978.0,ns,172
day 18 part two ,,,,,98466149.0,ns,174
day 18 part two ,,,,,99569155.0,ns,176
day 18 part two ,,,,,100741077.0,ns,178
day 18 part two ,,,,,101886477.0,ns,180
day 18 part two ,,,,,102961223.0,ns,182
day 18 part two ,,,,,104180850.0,ns,184
day 18 part two ,,,,,105257088.0,ns,186
day 18 part two ,,,,,106474345.0,ns,188
day 18 part two ,,,,,107419599.0,ns,190
day 18 part two ,,,,,108620267.0,ns,192
day 18 part two ,,,,,113610853.0,ns,194
day 18 part two ,,,,,115050040.0,ns,196
day 18 part two ,,,,,112028506.0,ns,198
day 18 part two ,,,,,113185032.0,ns,200
