group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 06 part two,,,,,1532300.0,ns,2
day 06 part two,,,,,3075100.0,ns,4
day 06 part two,,,,,4468700.0,ns,6
day 06 part two,,,,,5939000.0,ns,8
day 06 part two,,,,,7558200.0,ns,10
day 06 part two,,,,,9001400.0,ns,12
day 06 part two,,,,,10494600.0,ns,14
day 06 part two,,,,,12280600.0,ns,16
day 06 part two,,,,,13600700.0,ns,18
day 06 part two,,,,,15957900.0,ns,20
day 06 part two,,,,,16532100.0,ns,22
day 06 part two,,,,,18269200.0,ns,24
day 06 part two,,,,,19358500.0,ns,26
day 06 part two,,,,,21139700.0,ns,28
day 06 part two,,,,,22992200.0,ns,30
day 06 part two,,,,,24034000.0,ns,32
day 06 part two,,,,,25713900.0,ns,34
day 06 part two,,,,,27612800.0,ns,36
day 06 part two,,,,,28768800.0,ns,38
day 06 part two,,,,,30030600.0,ns,40
day 06 part two,,,,,32057500.0,ns,42
day 06 part two,,,,,33617600.0,ns,44
day 06 part two,,,,,34860000.0,ns,46
day 06 part two,,,,,37173900.0,ns,48
day 06 part two,,,,,38875600.0,ns,50
day 06 part two,,,,,40479300.0,ns,52
day 06 part two,,,,,41117000.0,ns,54
day 06 part two,,,,,44079000.0,ns,56
day 06 part two,,,,,43748000.0,ns,58
day 06 part two,,,,,44921200.0,ns,60
day 06 part two,,,,,48082800.0,ns,62
day 06 part two,,,,,48602300.0,ns,64
day 06 part two,,,,,50658100.0,ns,66
day 06 part two,,,,,51573300.0,ns,68
day 06 part two,,,,,52795500.0,ns,70
day 06 part two,,,,,55084900.0,ns,72
day 06 part two,,,,,56035000.0,ns,74
day 06 part two,,,,,58225900.0,ns,76
day 06 part two,,,,,58947200.0,ns,78
day 06 part two,,,,,60861500.0,ns,80
day 06 part two,,,,,62799700.0,ns,82
day 06 part two,,,,,64540600.0,ns,84
day 06 part two,,,,,65712300.0,ns,86
day 06 part two,,,,,66579200.0,ns,88
day 06 part two,,,,,68335100.0,ns,90
day 06 part two,,,,,69869100.0,ns,92
day 06 part two,,,,,71264000.0,ns,94
day 06 part two,,,,,72941900.0,ns,96
day 06 part two,,,,,75040200.0,ns,98
day 06 part two,,,,,75359900.0,ns,100
day 06 part two,,,,,78061800.0,ns,102
day 06 part two,,,,,79031800.0,ns,104
day 06 part two,,,,,80039800.0,ns,106
day 06 part two,,,,,81869300.0,ns,108
day 06 part two,,,,,82514300.0,ns,110
day 06 part two,,,,,85483000.0,ns,112
day 06 part two,,,,,87876100.0,ns,114
day 06 part two,,,,,87975900.0,ns,116
day 06 part two,,,,,90235100.0,ns,118
day 06 part two,,,,,90473800.0,ns,120
day 06 part two,,,,,92215500.0,ns,122
day 06 part two,,,,,93361400.0,ns,124
day 06 part two,,,,,95516100.0,ns,126
day 06 part two,,,,,96807000.0,ns,128
day 06 part two,,,,,99548300.0,ns,130
day 06 part two,,,,,101526000.0,ns,132
day 06 part two,,,,,102826200.0,ns,134
day 06 part two,,,,,103958800.0,ns,136
day 06 part two,,,,,105533700.0,ns,138
day 06 part two,,,,,105863300.0,ns,140
day 06 part two,,,,,107820400.0,ns,142
day 06 part two,,,,,109407400.0,ns,144
day 06 part two,,,,,110878700.0,ns,146
day 06 part two,,,,,112877600.0,ns,148
day 06 part two,,,,,114311100.0,ns,150
day 06 part two,,,,,117472200.0,ns,152
day 06 part two,,,,,117350800.0,ns,154
day 06 part two,,,,,119253800.0,ns,156
day 06 part two,,,,,119540400.0,ns,158
day 06 part two,,,,,120692500.0,ns,160
day 06 part two,,,,,122710100.0,ns,162
day 06 part two,,,,,124280900.0,ns,164
day 06 part two,,,,,126246100.0,ns,166
day 06 part two,,,,,127804100.0,ns,168
day 06 part two,,,,,130368900.0,ns,170
day 06 part two,,,,,130020800.0,ns,172
day 06 part two,,,,,132659000.0,ns,174
day 06 part two,,,,,132593400.0,ns,176
day 06 part two,,,,,136386200.0,ns,178
day 06 part two,,,,,136890900.0,ns,180
day 06 part two,,,,,138608000.0,ns,182
day 06 part two,,,,,141606800.0,ns,184
day 06 part two,,,,,141621000.0,ns,186
day 06 part two,,,,,143369400.0,ns,188
day 06 part two,,,,,144561500.0,ns,190
day 06 part two,,,,,145729700.0,ns,192
day 06 part two,,,,,148485100.0,ns,194
day 06 part two,,,,,150112200.0,ns,196
day 06 part two,,,,,150729200.0,ns,198
day 06 part two,,,,,153064300.0,ns,200
